food_id,food_name,food_name_clean,calories_100g,protein_100g,fat_100g,carbohydrate_100g,image_url,source,zero_calorie_flag,calorie_inconsistent_flag,calorie_macro_diff,cooking_category,main_ingredient,meal_time,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,confidence,allergen_sources,label_sources,allergen_match_count,merge_status,food_category,food_category_source,base_ingredient,base_ingredient_tags,recipe_reference_match,recipe_reference_source,recipe_reference_title,recipe_ingredients_reference,suitable_breakfast,suitable_lunch,suitable_dinner,meal_time_tags,primary_meal_time,feature_rule_version,context_correction_notes,menu_reference_match,menu_reference_source,menu_reference_title,menu_reference_category,menu_reference_meal_time,ingredient_only_flag,raw_ingredient_flag,is_recommendable_food,recommendation_item_type,recommendation_confidence,recommendation_exclusion_reason,halal_status,is_halal_candidate,contains_non_halal_ingredient,non_halal_ingredient_tags,halal_review_reason,halal_confidence,halal_rule_version,menu_ready_rule_version
FD0037,ayam goreng kentucky dada,ayam goreng kentucky dada,298.0,34.2,16.8,0.1,https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200,indonesian_food_nutrition_dataset,0,0,9.6,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0038,ayam goreng kentucky paha,ayam goreng kentucky paha,286.0,32.1,16.1,1.1,https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg,indonesian_food_nutrition_dataset,0,0,8.3,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0039,ayam goreng mbok berek dada,ayam goreng mbok berek dada,295.0,39.2,13.6,1.0,https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg,indonesian_food_nutrition_dataset,0,0,11.8,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0040,ayam goreng paha,ayam goreng paha,287.0,31.0,15.7,1.7,https://cdn1-production-images-kly.akamaized.net/EwEm3hoNsTm-YZSonSqX2IlcAaY=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2938630/original/066858200_1571039590-shutterstock_153914045.jpg,indonesian_food_nutrition_dataset,0,0,14.9,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0041,ayam goreng pasundan dada,ayam goreng pasundan dada,246.0,37.9,9.0,0.7,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/6-C2DTTVLGUBJ3T6-C2DTTXDVTNJXLA/detail/menueditor_item_b01be5494e6b4600867dbcbc0dcd1ed2_1607529952400513906.webp,indonesian_food_nutrition_dataset,0,0,10.6,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0042,ayam goreng pasundan paha,ayam goreng pasundan paha,245.0,33.1,11.4,0.3,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE2021041504584013744/detail/menueditor_item_de1f8bfb500e483d903ccb2e25a29a7d_1618462649639007677.webp,indonesian_food_nutrition_dataset,0,0,8.8,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0043,ayam goreng pioneer dada,ayam goreng pioneer dada,295.0,37.4,14.7,0.6,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE20210726121341017693/detail/menueditor_item_428cb0ea19e44146a00e1cfbef85faae_1627524568218570621.webp,indonesian_food_nutrition_dataset,0,0,10.7,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0044,ayam goreng sukabumi dada,ayam goreng sukabumi dada,244.0,36.7,9.2,1.0,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d5baa5ea-bad6-4cc6-b6fe-a0c4a9a86979_Go-Biz_20211222_160332.jpeg,indonesian_food_nutrition_dataset,0,0,10.4,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0045,ayam goreng sukabumi paha,ayam goreng sukabumi paha,283.0,35.7,14.3,0.5,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/60ef5b81-53d7-4375-a9a3-b7eb2aed3b2a_master-menu-item-image_1597233742745.jpg?resize=728%2C500,indonesian_food_nutrition_dataset,0,0,9.5,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0047,ayam taliwang masakan,ayam taliwang masakan,264.0,18.2,20.1,2.7,https://asset.kompas.com/crops/-oAqlkfrKHaqebhytdtKz-JV6ls=/4x0:1000x664/750x500/data/photo/2020/12/22/5fe16c7655542.jpg,indonesian_food_nutrition_dataset,0,0,-0.5,olahan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,keyword,ayam,ayam,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0048,ayam usus goreng,ayam usus goreng,473.0,45.2,26.3,13.9,https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg,indonesian_food_nutrition_dataset,0,0,-0.1,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0049,babat,babat,113.0,17.6,4.2,0.0,https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200,indonesian_food_nutrition_dataset,0,0,4.8,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lainnya,fallback,unknown,,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,,False,,,,,False,False,True,local_food_or_menu,low,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0054,babi hutan masak rica masakan,babi hutan masak rica masakan,491.0,24.6,16.3,0.2,https://img-global.cpcdn.com/recipes/3bb79acbfc908ed8/1200x630cq70/photo.jpg,indonesian_food_nutrition_dataset,0,1,245.1,olahan,babi,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,fallback,daging_lain,daging_lain,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_daging_lain,False,,,,,False,False,True,menu,high,,non_halal,False,True,pork,explicit_non_halal_keyword,high,halal_context_rules_v1,menu_ready_filter_v1
FD0055,bacang,bacang,102.9,3.3,2.7,16.3,https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg,indonesian_food_nutrition_dataset,0,0,0.2,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lainnya,fallback,unknown,,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,,False,,,,,False,False,True,local_food_or_menu,low,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0056,bagea kelapa asin,bagea kelapa asin,450.0,3.2,13.9,78.1,https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg,indonesian_food_nutrition_dataset,0,0,-0.3,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,keyword,buah,buah,False,,,,True,True,True,breakfast|lunch|dinner,breakfast,food_context_rules_v1,fruit_keyword,False,,,,,False,False,True,snack,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
